normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,mean_stat,std_stat,skewness_stat,kurtosis_stat,entropy_stat,gini_coefficient
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,731.9827270507812,57.0904655456543,1.3022773265838623,1.490504764817513,13.57231330871582,0.04084087492653712
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,728.4795532226562,57.86074447631836,1.433219313621521,2.023696506757477,13.572210311889648,0.04119346181538916
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,729.8274536132812,57.281700134277344,1.3900344371795654,2.0554012592740616,13.572280883789062,0.040913633146441836
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/GRAVELxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,727.4033203125,57.11191940307617,1.4578094482421875,2.1550252999521087,13.57227897644043,0.04047818532045005
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,743.6209106445312,58.149478912353516,1.0534191131591797,0.3268276640223955,13.572282791137695,0.042065341375161255
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,684.6017456054688,71.720947265625,1.0954118967056274,1.6488743271346307,13.569938659667969,0.055197761713579985
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,679.8831176757812,72.44212341308594,1.2347354888916016,1.840961725836502,13.569785118103027,0.056033089809327974
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,742.171142578125,66.06840515136719,0.9024463295936584,-0.5153389201892264,13.571395874023438,0.047787490461253655
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,743.7850952148438,57.145912170410156,0.9520773887634277,0.22722583462746915,13.57237434387207,0.04184763611916353
False,False,DARTER,GRAY,1536,512,/home/durrmeyer/Images/StyleTransferImages/Layers_1and2/DETRITUSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,736.5908203125,62.446067810058594,0.9570386409759521,-0.3457327122382461,13.571757316589355,0.04529190234096307
