,normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,GLCM_angle,GLCM_dist,GLCM_mean,GLCM_variance,GLCM_correlation,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_ASM,GLCM_energy,GLCM_max_proba,GLCM_entropy
13,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,45.0,4.0,45.608612060546875,19722.96189727262,0.7683955022239308,3973.484749110573,23.740292926812476,0.11779632002735202,0.00015993545525400135,0.01264655902821006,1179.0,9.030570147024081
14,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,90.0,4.0,45.5628662109375,18989.74278245166,0.7646339172315614,4037.86976592159,24.243817163249403,0.11434761838570766,0.00015483682374254663,0.012443344556129056,1186.0,9.064589374473636
15,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,135.0,4.0,45.71533203125,20646.986896276474,0.7778810030269044,3811.4417072763667,22.812189252336438,0.12204864879444143,0.0001660072874201649,0.012884381530370982,1274.0,8.994460823544733
16,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,0.0,2.0,45.745849609375,62334.00794781629,0.8373275219112836,2676.6345190126744,15.580398265510334,0.2048684048741173,0.0004697669918704978,0.02167410879068613,5631.0,8.25571927475535
17,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,45.0,2.0,45.669586181640625,40995.50523711543,0.7748490522607503,3704.4445252625983,21.623010943527593,0.15008016200418398,0.00031517653237946047,0.017753211889105038,4081.0,8.629752771255367
18,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,90.0,2.0,45.669586181640625,45949.55278350217,0.7991423531590429,3304.75445890113,19.261184924032797,0.16402009787116403,0.0003514196949360297,0.018746191478165097,4439.0,8.506167254053317
19,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,135.0,2.0,45.745849609375,62334.00794781588,0.8373275219112851,2676.6345190126754,15.580398265510345,0.20486840487411723,0.0004697669918704975,0.021674108790686125,5631.0,8.25571927475536
20,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,0.0,4.0,45.71533203125,33190.908801792204,0.7375512144902094,4316.986924566088,25.155563417890527,0.12799703531074563,0.00025759340602779675,0.016049716696184914,3296.0,8.791852682236012
21,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,45.0,4.0,45.608612060546875,27997.08070219809,0.6980378830176043,4966.921045993215,28.97884714851694,0.109464305131178,0.0002206297835503885,0.01485361180152452,2772.0,8.944319273012336
22,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,90.0,4.0,45.5628662109375,25993.539535388092,0.6826468467161773,5219.616168141545,30.440461311557115,0.1025019576176198,0.00020631599316949813,0.014363704019837576,2617.0,8.996171904201272
